inflow,rep,update,partner,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
250,11,21000,host,49155,470,6,22,14,3,5,0,0
250,11,21000,symbiont,0,0,0,0,0,0,0,0,0
250,11,22000,host,49108,479,7,17,15,6,3,0,0
250,11,22000,symbiont,0,0,0,0,0,0,0,0,0
250,11,23000,host,49296,472,5,13,6,2,5,0,0
250,11,23000,symbiont,0,0,0,0,0,0,0,0,0
250,11,24000,host,49356,478,5,16,5,2,3,0,0
250,11,24000,symbiont,0,0,0,0,0,0,0,0,0
250,11,25000,host,49325,454,6,9,10,5,2,0,0
250,11,25000,symbiont,0,0,0,0,0,0,0,0,0
250,11,26000,host,49103,441,8,18,15,4,5,0,0
250,11,26000,symbiont,0,0,0,0,0,0,0,0,0
250,11,27000,host,49132,430,9,22,11,8,4,0,0
250,11,27000,symbiont,0,0,0,0,0,0,0,0,0
250,11,28000,host,49148,418,4,16,17,3,6,0,0
250,11,28000,symbiont,0,0,0,0,0,0,0,0,0
250,11,29000,host,49309,276,5,10,17,5,7,0,0
250,11,29000,symbiont,0,0,0,0,0,0,0,0,0
250,11,30000,host,49523,250,6,23,13,6,1,0,0
