rep, VT_rate, phenotype, count, partner
29, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 121, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 327, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 6588, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000001010, 145, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 1364, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000011000, 2, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000000010, 960, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000000111, 26, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000010001, 3, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000010010, 5, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000001011, 16, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000010000, 22, host
29, NONE, 0000000000000000000000000000000000000000000000000000000010010010, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000000101, 18, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000011100, 2, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000010100, 6, host
29, NONE, 0000000000000000000000000000000000000000000000000000000001010001, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000001000101, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000010110, 4, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000101010, 1, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010011, 1, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000001000001, 1, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000001000000, 1, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010010, 2, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001110, 1, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000100010, 2, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010000, 21, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000101, 6, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000100, 21, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000010, 165, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000011000, 3, host
