vert,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,16,10000,host,0,0,0,2.48586e+06,3635,573,728,638,211,131,0,0
No symbiont,16,15000,host,0,0,0,2.12902e+06,5541,477,849,654,239,242,0,0
No symbiont,16,20000,host,0,0,0,1.76992e+06,7325,410,793,564,264,224,0,0
No symbiont,16,25000,host,0,0,0,1.59647e+06,7482,365,850,508,279,241,1,0
No symbiont,16,30000,host,0,0,0,1.48655e+06,9554,385,870,588,290,285,3,0
No symbiont,16,35000,host,0,0,0,1.3823e+06,11560,410,946,621,299,307,2,0
No symbiont,16,40000,host,0,0,0,1.30182e+06,14629,420,1003,753,346,326,0,0
No symbiont,16,45000,host,0,0,0,1.29793e+06,14730,461,1067,846,432,372,2,0
No symbiont,16,50000,host,0,0,0,1.26735e+06,17669,530,1162,908,518,370,1,0
No symbiont,16,55000,host,0,0,0,1.24845e+06,18158,644,1302,1004,464,396,1,0
No symbiont,16,60000,host,0,0,0,1.22653e+06,21819,737,1400,1133,618,481,6,0
No symbiont,16,65000,host,0,0,0,1.19982e+06,27131,825,1910,1292,677,509,7,0
No symbiont,16,70000,host,0,0,0,1.17364e+06,30987,814,2182,1399,744,565,7,1
No symbiont,16,75000,host,0,0,0,1.12755e+06,36883,930,2796,1510,810,539,9,0
No symbiont,16,80000,host,0,0,0,1.10678e+06,37895,1026,3063,1557,847,614,10,0
No symbiont,16,85000,host,0,0,0,1.07744e+06,37426,1179,4963,1741,906,606,8,3
No symbiont,16,90000,host,0,0,0,1.08112e+06,38516,1627,3961,1787,949,625,16,0
No symbiont,16,95000,host,0,0,0,1.06644e+06,40651,1370,2356,1960,1042,697,10,1
No symbiont,16,100000,host,0,0,0,1.05168e+06,43877,1473,2984,2121,1094,751,15,1
No symbiont,16,105000,host,0,0,0,1.03335e+06,47687,1404,6705,2169,1132,731,10,2
No symbiont,16,110000,host,0,0,0,1.03e+06,59963,1888,5694,2346,1219,771,23,2
No symbiont,16,115000,host,0,0,0,1.02736e+06,60084,3796,3198,2286,1206,724,21,4
No symbiont,16,120000,host,0,0,0,1.01498e+06,57553,5434,2791,2368,1199,708,14,1
No symbiont,16,125000,host,0,0,0,1.03258e+06,61692,5662,2637,2725,1298,747,23,2
No symbiont,16,130000,host,0,0,0,1.02336e+06,70296,7417,4246,2515,1724,777,21,5
No symbiont,16,135000,host,0,0,0,1.01147e+06,86885,10148,4134,2969,2181,781,42,3
No symbiont,16,140000,host,0,0,0,954037,96177,12361,3740,3237,2070,800,27,5
No symbiont,16,145000,host,0,0,0,930084,101555,13664,4726,3353,1577,825,30,4
No symbiont,16,150000,host,0,0,0,916220,114425,14817,7488,3336,1739,789,37,7
No symbiont,16,155000,host,0,0,0,886744,130053,29583,8087,3565,1762,788,41,5
No symbiont,16,160000,host,0,0,0,805520,156059,40150,7763,3538,1717,756,56,11
No symbiont,16,165000,host,0,0,0,770391,200342,44811,10681,3754,1759,692,78,7
No symbiont,16,170000,host,0,0,0,743372,254721,56998,11944,3566,1824,668,106,9
No symbiont,16,175000,host,0,0,0,657683,302069,57475,17259,3860,1879,640,118,11
No symbiont,16,180000,host,0,0,0,600476,325335,83884,26369,4028,1905,578,120,6
No symbiont,16,185000,host,0,0,0,523430,350415,96341,22958,4064,1878,501,152,17
No symbiont,16,190000,host,0,0,0,454040,365660,113848,30408,4024,1820,406,137,17
No symbiont,16,195000,host,0,0,0,383783,405094,156651,67104,5149,1765,366,138,18
No symbiont,16,200000,host,0,0,0,289911,614699,104099,1.25069e+06,6556,1318,257,313,6
No symbiont,17,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,17,5000,host,0,0,0,2.48142e+06,1170,738,671,772,158,106,0,0
No symbiont,17,10000,host,0,0,0,2.47307e+06,2120,563,849,606,213,170,0,0
No symbiont,17,15000,host,0,0,0,2.19968e+06,6193,514,1219,652,281,225,1,1
No symbiont,17,20000,host,0,0,0,1.8279e+06,7796,449,1179,547,271,251,0,0
No symbiont,17,25000,host,0,0,0,1.64028e+06,8494,401,917,579,305,263,1,0
No symbiont,17,30000,host,0,0,0,1.50872e+06,10991,427,956,680,293,291,1,0
No symbiont,17,35000,host,0,0,0,1.40691e+06,13970,458,1048,667,353,292,5,0
No symbiont,17,40000,host,0,0,0,1.33165e+06,15103,593,1085,760,339,289,2,0
No symbiont,17,45000,host,0,0,0,1.29918e+06,13529,651,1109,783,388,318,2,0
No symbiont,17,50000,host,0,0,0,1.25128e+06,14373,587,1190,844,379,370,4,1
No symbiont,17,55000,host,0,0,0,1.22749e+06,18560,566,1268,919,487,407,4,0
No symbiont,17,60000,host,0,0,0,1.19734e+06,23060,658,1384,1073,537,419,6,0
No symbiont,17,65000,host,0,0,0,1.15406e+06,19557,748,1521,1180,598,460,5,0
